"startdate","p","perc_threshold","home_steep","residuo","residuo_mean","log_like","cov_matrix1","cov_matrix2","cov_matrix3","cov_matrix4","cov_matrix5","cov_matrix6","cov_matrix7","cov_matrix8","cov_matrix9","info","data","rel_like","prob"
18281,0.0356105817702819,0.666193891879743,3.8787708760854,0.0023931153269331,0.000052024246237676,-453.734831015649,0.00000000597937385831445,-0.000000103801162439525,-0.000000473649740611645,-0.000000103801162439525,0.00000249848464085221,0.0000057648668841033,-0.000000473649740611645,0.0000057648668841033,0.0000771612784729192,2,2020-01-20,0.0000000000413180423007205,0.000000000041195841897928
18282,0.0378469655962995,0.61327608776654,5.98800548441279,0.00299933295499331,0.0000652028903259416,-443.34831095364,0.0000000415114388372775,-0.0000000372633980102657,-0.000000497474817131723,-0.0000000372633980102656,0.00000320280139944624,-0.0000318497848379302,-0.000000497474817131723,-0.0000318497848379302,0.00043780786010621,2,2020-01-21,1.27447519374625e-15,1.27070586264166e-15
18283,0.038424893904444,0.616120636250085,6.07962678669199,0.00242225285524451,0.000052657670766185,-453.178137275863,0.0000000155095132097064,-0.000000000847025831538986,-0.00000226228923822099,-0.000000000847025831538989,0.000000558868187391916,-0.00000421864424917827,-0.00000226228923822099,-0.00000421864424917827,0.000558869959444957,2,2020-01-22,0.0000000000236794012434091,0.0000000000236093681002905
18284,0.039378332968079,0.600520980080583,6.04606649792497,0.00257721395963579,0.000056026390426865,-450.325635148223,0.00000000838580991740431,-0.00000000960692721566006,-0.00000041167363625044,-0.00000000960692721566006,0.000000237107584462745,0.0000013374281465876,-0.00000041167363625044,0.0000013374281465876,0.00023114939871341,2,2020-01-23,0.00000000000136629595625615,0.00000000000136225506015141
18285,0.0400291940396304,0.600767353539319,5.99819795504044,0.00224475582126725,0.0000487990395927664,-456.678796585647,0.00000000186765678521005,-0.0000000988889803479238,0.000000861056332704274,-0.0000000988889803479238,0.00000893838026678156,-0.0000825642310797846,0.000000861056332704274,-0.0000825642310797846,0.000778886101832088,2,2020-01-24,0.000000000784671245209422,0.000000000782350536461259
18286,0.0412602906311394,0.558496788281613,4.64463633154207,0.00257550746952329,0.0000559892928157236,-450.35610392055,0.000000000307589832100511,-0.00000000303867127237378,0.00000016400530955066,-0.00000000303867127237378,0.00000065944224020553,-0.0000069444377703718,0.00000016400530955066,-0.0000069444377703718,0.00021790169995912,2,2020-01-25,0.00000000000140856600487037,0.00000000000140440009275135
18287,0.0415577532167222,0.564818750221434,4.4576704831099,0.0017250995757062,0.0000375021646892653,-468.791147473916,0.00000000186927759172269,0.0000000214600533817758,-0.000000237216942081099,0.0000000214600533817758,0.000000810905527415128,-0.00000464765766534115,-0.000000237216942081099,-0.00000464765766534115,0.0000739048477372709,2,2020-01-26,0.000142894295477254,0.000142471677669349
18288,0.0417759611155025,0.575061085137336,4.36325791942595,0.00236537738444105,0.000051421247487849,-454.271118400783,0.0000000362079424813234,-0.000000548415804895223,-0.000000977236346494565,-0.000000548415804895223,0.00000872358981338233,0.0000124919104030072,-0.000000977236346494565,0.0000124919104030072,0.0000619180916872223,2,2020-01-27,0.0000000000706393001723652,0.0000000000704303805224162
18289,0.0434888465787236,0.548760460737867,4.53151895090542,0.00161675947617709,0.0000351469451342847,-471.774751233084,0.00000000392139524502105,-0.0000000775078836749308,0.000000177878645764829,-0.0000000775078836749308,0.00000170622170399533,-0.00000476461922296627,0.000000177878645764829,-0.00000476461922296627,0.0000233964453305276,2,2020-01-28,0.0028234333506888,0.00281508288988524
18290,0.0456097047410585,0.506269825547081,4.92807088665892,0.00262235102365666,0.0000570076309490579,-449.52696944839,0.0000000106633105281224,-0.0000000456472988856612,-0.000000427465188671686,-0.0000000456472988856612,0.000000810640071293809,-0.000000474016255424077,-0.000000427465188671687,-0.000000474016255424077,0.000109433720818209,2,2020-01-29,0.000000000000614736042124827,0.000000000000612917926169285
18291,0.0461278871865672,0.516275641374176,4.82853451815618,0.00142307416885671,0.0000309363949751459,-477.644552867424,0.00000000103198791550588,0.00000000911510562870485,-0.0000000394609130337955,0.00000000911510562870484,0.00000300388097185273,-0.00000929643361683304,-0.0000000394609130337955,-0.00000929643361683304,0.0000476336364015847,2,2020-01-30,1,0.997042444511211
18292,0.0451416944006573,0.562298675015417,4.8848677306843,0.00832067115040743,0.00018088415544364,-396.412072811662,0.00000000888196952494877,-0.000000234224004919177,0.0000014202462253925,-0.000000234224004919177,0.0000148772642569446,-0.000115461963744533,0.0000014202462253925,-0.000115461963744533,0.00104686083941717,2,2020-01-31,5.26237945336999e-36,5.24681567413358e-36
18293,0.0502479107600765,0.455733843428173,4.96156753203716,0.00462696498920909,0.000100586195417589,-423.406794481369,0.0000000370569276518922,-0.000000128220440093302,-0.0000024503509823114,-0.000000128220440093302,0.0000201356016696724,0.0000159717418103925,-0.0000024503509823114,0.0000159717418103925,0.000191862834056928,2,2020-02-01,2.78510018499967e-24,2.7768630966607e-24
18294,0.0489080622415983,0.506881661136638,4.75116958066327,0.00267013257869544,0.0000580463604064225,-448.696353270088,0.0000000131356906087566,0.00000000999945069228027,-0.000000257430871169821,0.00000000999945069228027,0.000000308202576286902,-0.000003882341966071,-0.000000257430871169821,-0.00000388234196607101,0.000120532167072972,2,2020-02-02,0.000000000000267890093515366,0.000000000000267097793698897
