"startdate","p","residuo","residuo_mean","log_like","cov_matrix","info","data","rel_like","prob"
18271,0.03,0.0240313560294749,0.000522420783249454,-347.623711044761,0.0000000341113072105841,2,2020-01-10,7.47483408578228e-23,5.98718215914891e-23
18272,0.0306880643848175,0.0207797666569343,0.00045173405775944,-354.311178277549,0.0000000121047200146186,2,2020-01-11,5.99696721309373e-20,4.80344241694003e-20
18273,0.0315014532453995,0.0196586174053578,0.00042736124794256,-356.862520870389,0.0000000169358602124936,2,2020-01-12,7.69069669389479e-19,6.16008348930376e-19
18274,0.0319377334928754,0.0189087398158502,0.000411059561214135,-358.651532063896,0.00000000458523893530374,2,2020-01-13,4.60175373378101e-18,3.68590627424035e-18
18275,0.0305647446689202,0.0339797831612725,0.000738690938288532,-331.689023268114,0.000000167575023937302,2,2020-01-14,8.97955024927076e-30,7.19242760877796e-30
18276,0.0318413691454974,0.0209637607600139,0.00045573392956552,-353.905664700842,0.0000000219787867902456,2,2020-01-15,3.99778437036293e-20,3.20213973764159e-20
18277,0.032997810349932,0.0155172907224007,0.000337332407008711,-367.744320169276,0.0000000415819778270822,2,2020-01-16,0.0000000000000409139182107116,0.0000000000000327711730268343
18278,0.0333947121711995,0.0146409189134668,0.00031828084594493,-370.418514473349,0.00000000988819166450214,2,2020-01-17,0.000000000000593278899375512,0.000000000000475203703651012
18279,0.0349140366988732,0.031579920818143,0.000686520017785717,-335.058258003484,0.0000000483497197405663,2,2020-01-18,2.60912351477412e-28,2.0898521063343e-28
18280,0.0343328395253109,0.0129139512637994,0.00028073807095216,-376.192068938207,0.00000000478010105420228,2,2020-01-19,0.000000000190845422416214,0.000000000152863099720027
18281,0.0349254877149856,0.0122554311116238,0.000266422415470082,-378.59966411141,0.00000000689313879376161,2,2020-01-20,0.00000000211976172368833,0.0000000016978837828459
18282,0.0351284659464346,0.011617152192858,0.00025254678680126,-381.06004547896,0.0000000253264532335781,2,2020-01-21,0.0000000248208755571742,0.0000000198809902139541
18283,0.0351589673273704,0.0138148012794599,0.000300321766944781,-373.090180673748,0.00000000704696088750353,2,2020-01-22,0.0000000000085812151487538,0.00000000000687336971668184
18284,0.035,0.020653945811702,0.000448998821993523,-354.590553517004,0.0000000734316825055812,2,2020-01-23,7.92981032270924e-20,6.35160838952466e-20
18285,0.0371382024031803,0.010789304460569,0.000234550096968892,-384.460702549174,0.0000000000809803424845415,2,2020-01-24,0.000000744224045290617,0.000000596107535664089
18286,0.0375767989985991,0.00967602744842237,0.000210348422791791,-389.470281314824,0.00000000168576162904761,2,2020-01-25,0.00011151572499623,0.0000893217095523148
18287,0.0363087500228907,0.0219576920814486,0.000477341132205404,-351.774841398002,0.00000000573965989660553,2,2020-01-26,4.74694897397054e-21,3.80220455480147e-21
18288,0.0400000017853777,0.0445219058370416,0.000967867518196556,-319.259105705378,0.00000000028213690638989,2,2020-01-27,3.58930180282744e-35,2.87495394159514e-35
18289,0.0386120164704703,0.00876691174944898,0.0001905850380315,-394.008955180232,0.0000000205905367543816,2,2020-01-28,0.0104341512329318,0.00835753187171016
18290,0.04,0.0104760425162995,0.000227740054702164,-385.816061757764,0.0000000189276215526811,2,2020-01-29,0.00000288621528891162,0.00000231179668831753
18291,0.0401205056102498,0.00793906971940011,0.000172588472160872,-398.571626260476,0.000000000750342806197036,2,2020-01-30,1,0.800978602392928
18292,0.0407705856728377,0.00822628670018084,0.000178832319569149,-396.936849853775,0.000000000554553865406671,2,2020-01-31,0.194995966216678,0.156187596492494
18293,0.0411403894328232,0.00851893798531767,0.000185194304028645,-395.328829632461,0.00000000420813984492284,2,2020-02-01,0.0390545212630219,0.0312818358583802
18294,0.0418365432903842,0.00896367319964519,0.000194862460861852,-392.987962550076,0.00000000425371693009155,2,2020-02-02,0.00375876921952178,0.00301069371617011
18295,0.0424611702665558,0.00967419476339063,0.00021030858181284,-389.478994756023,0.0000000016468989136492,2,2020-02-03,0.000112491656394416,0.0000901034097196652
18296,0.0430775343786178,0.010593683809777,0.000230297474125586,-385.302381071915,0.00000000375248333648522,2,2020-02-04,0.0000017267920303258,0.00000138312346707361
18297,0.0434209633435374,0.0122508515820756,0.000266322860479905,-378.616856303657,0.00000000509709165849225,2,2020-02-05,0.00000000215652014832091,0.00000000172732649443427
18298,0.0442418747539389,0.0132061914704943,0.000287091118923789,-375.162701632476,0.000000019101039638924,2,2020-02-06,0.0000000000681762652849804,0.0000000000546077296843331
18299,0.0450030269449623,0.0147859779206437,0.000321434302622688,-369.964999553526,0.000000034286305877397,2,2020-02-07,0.00000000000037696399841224,0.000000000000301940096600686
18300,0.0453739231554264,0.0170620755269971,0.000370914685369503,-363.37877009721,0.000000019315392631729,2,2020-02-08,5.19920289616777e-16,4.16445026932973e-16
18301,0.0459490418608153,0.0194162998105254,0.000422093474141857,-357.433053224525,0.000000137599520823587,2,2020-02-09,1.36064470870751e-18,1.08984729713387e-18
18302,0.0469336496856496,0.0214682073853692,0.000466700160551503,-352.811883805733,0.000000108451243562206,2,2020-02-10,1.33904865804058e-20,1.07254932265347e-20
18303,0.046819939666641,0.0259416100676959,0.000563948044949912,-344.105227761258,0.0000000124520313830826,2,2020-02-11,2.21586696367146e-24,1.77486202365023e-24
18304,0.0485546169764353,0.0279054209164909,0.000606639585141105,-340.748482542021,0.00000000732473109763472,2,2020-02-12,7.72196371863681e-26,6.18512770708261e-26
