"startdate","p","residuo","residuo_mean","log_like","cov_matrix","info","data","rel_like","prob"
18271,0.0298685487535871,0.114146876680359,0.00248145384087736,-275.949890562789,0.00000000310648691709562,2,2020-01-10,5.77399250797545e-46,5.77330042194448e-46
18272,0.0300000013685616,0.0975878555376635,0.00212147512038399,-283.159606555002,0.00000000693348929800084,2,2020-01-11,7.80937157859959e-43,7.80843552664373e-43
18273,0.0296890691763578,0.0469532390309975,0.00102072258763038,-316.813246229544,0.00000000610291292327134,2,2020-01-12,3.22259771002119e-28,3.22221144092654e-28
18274,0.0293085269165518,0.0173362754706945,0.00037687555371075,-362.645393978327,0.0000000237622322077072,2,2020-01-13,0.0000000258734865344794,0.0000000258703852698729
18275,0.03,0.0345286563075298,0.000750622963207169,-330.951925615428,0.0000000148877779657062,2,2020-01-14,4.45201411759898e-22,4.45148048739835e-22
18276,0.0294299780839231,0.0118581752243154,0.000257786417919901,-380.11544105682,0.000000000507202619593483,2,2020-01-15,1,0.999880137352098
18277,0.0298672715306044,0.0151166455097443,0.000328622728472703,-368.947608609133,0.0000000104475322408137,2,2020-01-16,0.0000141212126524338,0.0000141195200464937
18278,0.03,0.0147067040484862,0.000319710957575786,-370.212288484739,0.00000000523000770271697,2,2020-01-17,0.0000500167518283724,0.0000500107566880588
18279,0.0299955314807615,0.0146731893967789,0.000318982378190845,-370.31723608437,0.000000000986431545286083,2,2020-01-18,0.0000555512259703058,0.0000555445674532667
18280,0.03,0.0166665762372465,0.00036231687472275,-364.457603686592,0.00000000115881589171288,2,2020-01-19,0.000000158448317362055,0.00000015842932532718
18281,0.0303682891695297,0.0181096599549775,0.000393688259890814,-360.637754298224,0.00000000161829882232423,2,2020-01-20,0.00000000347494648309751,0.00000000347452996681073
18282,0.0308222147730274,0.0200913800009665,0.000436769130455793,-355.860867170963,0.0000000022478117987422,2,2020-01-21,0.0000000000292666086630699,0.0000000000292631006898604
18283,0.030751486706083,0.0223789507226859,0.000486498928754042,-350.900689481113,0.0000000320478521040813,2,2020-01-22,0.000000000000205208147813818,0.00000000000020518355102185
18284,0.0311946099949901,0.024223570922088,0.000526599367871478,-347.257243519743,0.00000000509794508154547,2,2020-01-23,5.36866276433826e-15,5.36801926220363e-15
18285,0.0316553799232618,0.0270406393804339,0.000587839986531173,-342.196565827096,0.00000000887753071345594,2,2020-01-24,3.40440898270644e-17,3.40400092123123e-17
18286,0.0308071923244392,0.0333644665440221,0.000725314490087436,-332.529640015753,0.000000125965235029173,2,2020-01-25,2.15649865154513e-21,2.15624016790656e-21
18287,0.030569609606999,0.0404893427023198,0.000880203102224345,-323.62646244042,0.0000000424564182635981,2,2020-01-26,2.93189422832808e-25,2.9315428037225e-25
18288,0.0299999988681739,0.0525800245676662,0.00114304401234057,-311.606777890598,0.00000000364816690842381,2,2020-01-27,1.76630469910701e-30,1.76609298514877e-30
18289,0.03,0.0570943416075715,0.00124118133929503,-307.817816355826,0.0000000347615633093613,2,2020-01-28,3.99521851488724e-32,3.9947396374171e-32
18290,0.031896693708498,0.0410795067405556,0.00089303275522947,-322.960815697524,0.0000000227127814502964,2,2020-01-29,1.50682074684937e-25,1.50664013532474e-25
18291,0.0332604254556983,0.0440026499085167,0.00095657934583732,-319.798753635952,0.0000000122314330402263,2,2020-01-30,6.37962992361628e-27,6.378865244281e-27
18292,0.0317381059886964,0.0502727348895813,0.00109288554107785,-313.670954580885,0.0000000547470543061524,2,2020-01-31,1.39163765246886e-29,1.39147084709491e-29
18293,0.0317214897115523,0.0545389115514434,0.0011856285119879,-309.924183736386,0.0000000411866841784136,2,2020-02-01,3.28340358384343e-31,3.28301002639574e-31
18294,0.0333113101706257,0.0486153275663982,0.00105685494709561,-315.213059364079,0.000000285102793561205,2,2020-02-02,6.50509687397463e-29,6.50431715583846e-29
18295,0.0327876289031789,0.0533856030474162,0.00116055658798731,-310.90735629861,0.00000000922115476356766,2,2020-02-03,8.77628436133089e-31,8.7752324126486e-31
18296,0.0336015009386329,0.0529512450446679,0.00115111402271017,-311.283154145005,0.0000000826845305182518,2,2020-02-04,1.27796104977441e-30,1.27780786997907e-30
18297,0.035,0.0622270249793052,0.00135276141259359,-303.857935104923,0.0000000505432251231477,2,2020-02-05,7.61703517927136e-34,7.61612218126561e-34
18298,0.034713202508496,0.0581924514457822,0.00126505329229961,-306.941487351937,0.0000000373393647025358,2,2020-02-06,1.66324293334275e-32,1.66304357264066e-32
18299,0.0347955918810058,0.0590351415877495,0.00128337264321195,-306.28013428229,0.0000000644444143722419,2,2020-02-07,8.58486950833978e-33,8.58384050314862e-33
18300,0.0348802982956539,0.0601946913122734,0.00130858024591899,-305.385375516415,0.0000000181551130155505,2,2020-02-08,3.50868922794062e-33,3.50826866715909e-33
18301,0.0350000029791917,0.0616375932276325,0.00133994767886158,-304.295736724736,0.0000000307840237405987,2,2020-02-09,1.18010537663062e-33,1.17996392607537e-33
18302,0.035,0.0634233800913404,0.00137876913242044,-302.981949099129,0.0000000162223640139695,2,2020-02-10,3.17212339426029e-34,3.17174317515078e-34
18303,0.0355451390870629,0.0645303786462629,0.00140283431839702,-302.185986486119,0.00000000398597424715948,2,2020-02-11,1.43109314756879e-34,1.43092161295472e-34
18304,0.0357047830918149,0.0659293907206915,0.00143324762436286,-301.19936780996,0.000000590369649595587,2,2020-02-12,5.33561955312686e-35,5.33498001163903e-35
18305,0.0360768689462133,0.0671266335394213,0.00145927464216133,-300.371526209153,0.0000000731681444508343,2,2020-02-13,2.33162023822551e-35,2.33134076404985e-35
18306,0.0366493550304736,0.0684775030327412,0.00148864137027698,-299.455004723166,0.0000000589064681743331,2,2020-02-14,9.32432907734981e-36,9.32321143857669e-36
18307,0.0367599318735948,0.0694167315523941,0.00150905938157378,-298.828362424765,0.00000000582154122259205,2,2020-02-15,4.98276379361781e-36,4.98216654635564e-36
18308,0.0380717227860744,0.0755029155817584,0.00164136773003823,-294.962368537307,0.000000771136928968251,2,2020-02-16,1.04349527684983e-37,1.04337020074288e-37
18309,0.035,0.0805695073220699,0.00175151102874065,-291.974715255887,0.000000106472089375898,2,2020-02-17,5.25979906702912e-39,5.25916861358551e-39
18310,0.0373262014878604,0.0729816730475692,0.00158655810972976,-296.524662719314,0.000000460724412661377,2,2020-02-18,4.97721303707019e-37,4.9766164551364e-37
18311,0.0387160703323178,0.0746402844109885,0.00162261487849975,-295.490950191129,0.00000011834487657511,2,2020-02-19,1.77031513850066e-37,1.77010294384053e-37
18312,0.038555813000339,0.0741657525727509,0.00161229896897285,-295.784332623656,0.000000913960530597159,2,2020-02-20,2.37391385249424e-37,2.37362930889399e-37
18313,0.038873339688941,0.0749538452818338,0.0016294314191703,-295.298110790112,0.0000000358836237894197,2,2020-02-21,1.4598273482023e-37,1.45965236943086e-37
18314,0.0393106889216205,0.0757167246685256,0.0016460157536636,-294.832289871217,0.000000147457180834041,2,2020-02-22,9.16216356795671e-38,9.16106536677094e-38
18315,0.0395497452732079,0.0764560090052644,0.00166208715228836,-294.385332703292,0.000000122590131220915,2,2020-02-23,5.85985688095827e-38,5.85915450299619e-38
18316,0.0400681686519091,0.0771042612561297,0.00167617959252456,-293.996953852062,0.000000192586420118625,2,2020-02-24,3.97389343816559e-38,3.97341711677561e-38
