"date","Cases.Mean","Cases.sd","Cases.q2.5","Cases.q50","Cases.q97.5","Deaths.Mean","Deaths.sd","Deaths.q2.5","Deaths.q50","Deaths.q97.5","model"
2020-02-02,0.00510975500285407,0.00124701624166094,0.00161662261574156,0.00552636996364356,0.00552637005829648,2.46334672703211e-05,1.34481145943048e-05,1.66584419057147e-06,2.73668089911434e-05,2.73668099856715e-05,"Standard_2"
2020-02-09,0.0445343715654374,0.00536501239020929,0.0290787182124331,0.0463974112932155,0.0463974150845094,0.00129556517905688,0.000237988184902006,0.000642236221204961,0.00137494456443888,0.00137494467311743,"Standard_2"
2020-02-16,0.246342127605333,0.0254162097626451,0.169298790248754,0.255445169311271,0.255445207474886,0.0110106397105991,0.00133708965348602,0.00705858003293761,0.0114816273659645,0.0114816288657275,"Standard_2"
2020-02-23,1.31415099762341,0.119464861622155,0.93563838789528,1.3580190198445,1.3580193183304,0.0655721178162487,0.00651565094044959,0.0453849947046727,0.0679346164878285,0.0679346296378838,"Standard_2"
2020-03-01,7.07571499283832,0.564720127226621,5.19491885931088,7.28823257046789,7.28823469689109,0.363385613688754,0.0311470564840141,0.262079957484136,0.374973228808037,0.374973327211583,"Standard_2"
2020-03-08,38.5770600221063,2.65044958000006,29.228807870616,39.5979719017144,39.5979863113192,1.99558340976535,0.147497696849547,1.48902691794383,2.05180379487038,2.05180447923863,"Standard_2"
2020-03-15,211.093066408714,12.1538408548763,165.256334674297,215.869833671071,215.869925248461,10.9783992829052,0.686564500848617,8.46780053467651,11.245897624076,11.2459021427556,"Standard_2"
2020-03-22,784.127531322843,37.8744272350212,631.62838131186,799.180674549176,799.180961249585,51.5205842649451,2.70596543410794,40.9563975786242,52.5912383701875,52.5912598982082,"Standard_2"
2020-03-29,1366.2063258861,57.1438400473348,1123.92761828975,1388.93814517272,1388.93975058647,142.049527041626,6.4782991660502,115.412801189776,144.62691624746,144.626977532008,"Standard_2"
2020-04-05,1992.5648436761,73.8742306120416,1666.39040458846,2021.75664489621,2021.76002842987,284.546692305752,11.5020393190153,235.20691750984,289.11573624971,289.11608018735,"Standard_2"
2020-04-12,2537.08022367169,83.5298998637287,2154.55701116059,2569.59375071437,2569.59842694834,461.275043129338,16.7715491006026,386.781621507343,467.889013016672,467.889764960628,"Standard_2"
2020-04-19,3002.0195839859,86.7693647253907,2590.41230121014,3034.8069458974,3034.81245206275,640.688678920752,20.9674844016775,544.556183032384,648.842574092069,648.843713836169,"Standard_2"
2020-04-26,3422.95606697214,85.6979179062642,3003.97266486984,3453.53064018533,3453.53683077999,808.322496582654,23.5860909216159,696.804243675629,817.267629034764,817.269077486384,"Standard_2"
2020-05-03,3822.17533641042,82.2734934480751,3414.49760593248,3848.38123584892,3848.39461506907,961.955827824729,24.6911672504703,841.885345139698,970.903746958183,970.908068037849,"Standard_2"
2020-05-10,4208.52118921198,78.720858392986,3829.84857260064,4228.3767176947,4228.38383191196,1104.31955479262,24.7742075513722,981.744170200177,1112.58995262668,1112.5919122897,"Standard_2"
2020-05-17,4582.05551470249,77.9612649388754,4249.7525225926,4593.7252959214,4622.40502810299,1241.81939383544,25.05100802081,1119.1065100919,1248.92423577672,1248.92646733339,"Standard_2"
2020-05-24,4937.38493202305,82.9751356172827,4668.63246238384,4939.20141306807,5019.65120866137,1378.12586022142,25.9491980115584,1259.44501446073,1383.33336749976,1385.73997079195,"Standard_2"
2020-05-31,5265.61226251906,95.1271607473648,5077.13136501356,5256.17132332966,5393.04393723997,1518.97712009899,29.3773535713618,1405.75441525396,1521.51355122291,1541.61571950506,"Standard_2"
2020-06-07,4802.24996601171,96.7300956915257,4709.9724015935,4784.68532453621,4948.89765455529,1609.47653970726,34.5029178109219,1508.99890149077,1608.58010501396,1649.31034041526,"Standard_2"
2020-06-14,3856.18090504951,88.5394916750852,3834.75618168343,3834.76046861292,3998.32595522931,1449.91555770128,32.6838565827935,1381.05932787321,1446.50924666602,1494.81475588854,"Standard_2"
2020-06-21,3533.2915156718,93.3287366845299,3506.55792477459,3506.56026487111,3686.36884978793,1240.21496262161,28.5406869167023,1204.36732382917,1235.26203419763,1283.82165451681,"Standard_2"
2020-06-28,3381.25112229461,101.227011777266,3349.30842768085,3349.31020854802,3547.33363941143,1085.36267990318,26.2849924500302,1076.15660327546,1079.1979869091,1127.93606827739,"Standard_2"
2020-07-05,3284.54246045205,109.621915816249,3247.80471713675,3247.80674127252,3462.64643866226,979.288514841165,25.864371666384,972.023387936467,972.024177164356,1022.01943534674,"Standard_2"
2020-07-12,3314.43402608343,121.993552532618,3271.8146004884,3271.81787905408,3553.734717059,889.492964685235,25.9791243039459,881.384005718284,881.384611811771,932.313641599136,"Standard_2"
2020-07-19,3437.2319384201,137.810205797539,3387.65864988906,3387.66248665223,3749.10005128104,826.945920702578,26.9072007796844,817.946423777247,817.94689777044,870.697334748972,"Standard_2"
2020-07-26,3588.42713343799,154.028700594262,3531.92417725574,3531.92810365697,3975.89190020296,799.883207992676,28.9645360539222,789.735808352022,789.736371184441,857.772058371395,"Standard_2"
2020-08-02,3715.58408976812,167.707889490881,3653.26962836625,3653.2734047562,4173.55303612764,797.407147067266,31.7803561630541,785.930889647539,785.931565037314,871.498387983834,"Standard_2"
2020-08-09,3537.75294842574,164.277579438067,3476.25009579812,3476.25401788294,4016.27381057181,783.262268871321,33.6804787464325,770.865433825212,770.866246809826,870.46770685181,"Standard_2"
