"date","Cases.Mean","Cases.sd","Cases.q2.5","Cases.q50","Cases.q97.5","Deaths.Mean","Deaths.sd","Deaths.q2.5","Deaths.q50","Deaths.q97.5"
2020-03-20,3243.59900372497,149.616742682818,2937.13568495118,3280.94459082427,3436.06092021228,172.533444309449,5.68939364512871,161.972360354855,173.418216465304,181.227608806628
2020-03-21,3855.92353170229,185.258216473479,3474.75422467993,3903.0187335675,4090.30474944399,216.112297792861,7.85608857640237,200.979555946264,217.571366466508,227.546889106463
2020-03-22,4481.68555836085,220.737233719339,4027.00106267868,4538.03710728504,4758.63763430918,266.174633950957,10.3852551252688,245.774196591347,268.282588025536,280.791679520927
2020-03-23,5093.00093599116,253.694770735211,4571.18164415449,5157.4353833598,5410.85528862996,321.949385343107,13.1864908769994,295.788414243301,324.743133721825,340.11967757438
2020-03-24,5699.15880498823,284.842397005477,5115.00027430245,5770.68837208513,6056.97560158729,382.68549814331,16.1736255269553,350.466905979148,386.177238099196,404.710212283677
2020-03-25,6306.66435660323,314.709097021907,5663.79306737304,6385.27089192565,6704.01946637179,447.836729694576,19.2806810194844,409.41644409232,452.006963005921,473.964907415548
2020-03-26,6918.77705300707,343.553593361822,6220.25702038171,7003.89061280491,7355.49138795362,517.011805131858,22.4564635513744,472.368575519789,521.861365174313,547.453063471078
2020-03-27,7537.4711889927,371.554176728671,6785.97726940905,7628.55405382682,8013.51708167208,589.935424936034,25.6603400531465,539.149961498587,595.455025698078,624.869125171627
2020-03-28,8164.10887235501,398.863567886194,7361.97632931428,8260.61206308712,8679.5722898014,666.415407204754,28.8605172657413,609.652472287446,672.550340681903,705.997698373211
2020-03-29,8799.58995195303,425.611769887027,7946.52944659809,8900.29857623226,9354.64056506684,746.317737618625,32.0327562852187,683.810489247945,752.982626611834,790.686988034264
2020-03-30,9444.46616436682,451.908680205169,8541.68531957086,9548.9320287822,10039.3335316466,829.548011313693,35.1592692404679,761.519891301861,836.584649101562,878.828974492633
2020-03-31,10099.0280983404,477.846493077739,9147.75288401879,10208.2672461578,10733.982681869,916.037752348763,38.2277748596248,842.578167053141,923.386201459373,970.344912506967
2020-04-01,10763.3714772363,503.501875852817,9764.25225500407,10877.4955123741,11438.7092498593,1005.73495898107,41.2312749868541,927.142559100213,1013.46968397794,1065.17849747004
