faixas,2.5%,20%,50%,80%,97.5%
0 a 9,3.5546295251431084,8.05686181484548,12.36240770853942,17.05272000749458,23.648027815022907
10 a 19,3.67310993930223,8.28644663521033,12.732931940004438,17.568891321293957,24.325467529781207
20 a 29,3.572250875483822,8.09115998718839,12.389711199857848,17.074828261155613,23.618641908953254
30 a 39,3.736080875538815,8.474835450102036,13.003299556069447,17.842467993556024,24.54011013669045
40 a 49,3.389828172718674,7.701071565149867,11.778573449651038,16.18796026036584,22.241681918493732
50 a 59,3.4730763465476104,7.854898132112208,11.9988311717267,16.465001522913294,22.511872418103987
60 a 69,3.6446235910804883,8.26435031671576,12.624071037477457,17.313529123814398,23.64404757673395
70 a 79,3.6726039935183072,8.325360337617711,12.749301419353236,17.469207057028775,23.91122874421786
80 a 100,3.810585953851743,8.669609931628612,13.266374888059788,18.2413352611154,25.014493973213416
