faixas,Estimate,Est.Error,Q2.5,Q97.5
0 a 9,0.4462556984491028,0.6125197825135101,0.2535490393242337,0.6722191770072555
10 a 19,0.5207052146844888,0.63279531117710075,0.29698535501474094,0.7949003115181835
20 a 29,0.25176581923106334,0.5860564253852115,0.1364859472147077,0.38877263901948644
30 a 39,0.31916442747175605,0.5412111950037972,0.2523470061421162,0.39326836481138316
40 a 49,0.33618971438883577,0.5348190030176849,0.27761362377223325,0.39773413516644207
50 a 59,0.3995982184749733,0.5306190325578022,0.34283107767784904,0.45743306085383206
60 a 69,0.4756923420047376,0.5277173403869133,0.4214887973128539,0.5299077645649604
70 a 79,0.5375525372258577,0.5316611414929859,0.476384748786022,0.5987366150079427
80 a 100,0.4728980453147876,0.5333506300005737,0.40918208427672076,0.5371136934518663
