faixas,Estimate,Est.Error,Q2.5,Q97.5
0 a 9,0.09566389590340581,0.7941590941333344,0.005642444762330855,0.5384219500636961
10 a 19,0.1187611875334578,0.8132587283393952,0.005465673172236695,0.6641846090925987
20 a 29,0.04522902443769103,0.7728397235683983,0.0030474337123787727,0.25191009463912684
30 a 39,0.04247834691938326,0.6881812021675223,0.007264366826163343,0.14036689463605095
40 a 49,0.045903151191122496,0.6525070986078083,0.011788438690275611,0.12306158955545733
50 a 59,0.050503368612246934,0.654909706651969,0.012747559997377115,0.13576817499803903
60 a 69,0.22540126963444002,0.567435164623288,0.14313671322118263,0.3286639366752617
70 a 79,0.46497575412638303,0.5722458358606939,0.3324450906334643,0.6053474692816744
80 a 100,0.6151095163213138,0.5647188301084632,0.49374383174453057,0.7295197113370618
