faixas,2.5%,20%,50%,80%,97.5%
0 a 9,0.5284112923100548,2.1752390444888636,4.625425727898379,8.21716182100353,14.704429557406993
10 a 19,0.5068369304593029,2.0940904480473153,4.439292497061855,7.8825199810285635,14.137742415187768
20 a 29,0.5341890272127957,2.1588757364975946,4.491358312498905,7.7625895398927955,13.433430687746844
30 a 39,0.6260291186894561,2.52762041791378,5.2440781454958305,9.015643253622576,15.41468491774166
40 a 49,0.6192382619973684,2.5027198118079617,5.187968602119298,8.904363709228587,15.24223993620893
50 a 59,0.6258185879703101,2.5115810749915313,5.2100328586977,8.963965297898268,15.287038497963293
60 a 69,0.6403703627508689,2.6044265921603604,5.393368425452721,9.286896740115086,15.895688501664603
70 a 79,0.7411854134582566,3.0080502936989286,6.219369760043241,10.681531277477212,18.324127166064155
80 a 100,0.5616618996856522,2.3007084781908436,4.758250235943907,8.171630313250535,14.027974354033073
