faixas,2.5%,20%,50%,80%,97.5%
0 a 9,2.082954808560761,6.083773874985531,10.562833121463242,15.967182590446463,24.717802455245973
10 a 19,2.0732921579998767,6.104272120024232,10.563415357904965,16.00826700251926,24.803233898104914
20 a 29,1.9959393361877946,5.965035787310224,10.538064679252539,16.266985300565395,26.4347301645931
30 a 39,2.0273314458301805,5.966761469887263,10.412067093905549,15.895253057144547,25.0083386733763
40 a 49,2.0901437605041946,6.124281586180363,10.612742564901538,16.074833362064687,25.025915010789255
50 a 59,2.140290457721287,6.339427158091442,11.032951628361506,16.79051740342765,26.256158356393236
60 a 69,2.0099127109052826,5.907951178047152,10.261997605258962,15.578232778882281,24.160238412366475
70 a 79,2.0792351701206613,6.117189816519776,10.585088682028672,16.024408627290104,24.86161688486434
80 a 100,2.1823054706311713,6.4094891026253205,11.154440839942108,16.96713894944881,26.6534722688614
